List,Transfer Date,Product/Service,Customers,Price ฿,Withholding 3% ฿,Sale Cost/Commission,VAT 7% ฿,Total Income ฿,Transfer Account,Invoice,Invoice No.,"Invoice Date ",Transection Recipe,Accounting Doc.,ID,User Account,Income $,Total Income $
Fastwork #6KNAXY73,01/10/2024,Voice Over (https://www.notion.so/Voice-Over-2390613ba14081a8bc31e6880f7fcf61?pvs=21),fahsuykb (Fastwork) (https://www.notion.so/fahsuykb-Fastwork-2390613ba14081348dace0c628d89dd2?pvs=21),THB 600.00,THB 18.00,THB 96.00,,486,KS - 9788,,7240917,17/09/2024,https://doc.fastwork.co/v2/order/e540c11b-eedb-484f-bf1b-fc0858c36dfa/receipt?document_code=RE6KNAXY73-1&company=true,,7,indystyle33,,12.722513089005
งาน Tele sale ทิชชู่สุนัข,19/09/2024,,,"THB 1,000.00",,,,1000,KS - 9788,,,,,,5,,,26.178010471204
KrungSri AI งวด 1,19/09/2024,Freelance AI Automation Services (https://www.notion.so/Freelance-AI-Automation-Services-2390613ba1408185bcebf2e88f2a435e?pvs=21),,"THB 5,000.00",,,,5000,KS - 9788,,,,,,4,,,130.890052356021
KringSri AI งวด 2,20/09/2024,Freelance AI Automation Services (https://www.notion.so/Freelance-AI-Automation-Services-2390613ba1408185bcebf2e88f2a435e?pvs=21),,"THB 2,300.00",,,,2300,KS - 9788,,,,,,3,,,60.20942408377
Deposit Notion K.Gigg,19/09/2024,Notion Design (https://www.notion.so/Notion-Design-2390613ba14081d2b74beb216cad2836?pvs=21),K.Gigg 10x Productive (https://www.notion.so/K-Gigg-10x-Productive-2390613ba140819ebb2ff79e393fdf0a?pvs=21),"THB 1,300.00",,,,1300,KS - 9788,,,,,,2,,,34.031413612565
ออเดอร์: RW65L8UY,06/06/2024 15:06 (GMT+7),Voice Over (https://www.notion.so/Voice-Over-2390613ba14081a8bc31e6880f7fcf61?pvs=21),,"THB 12,000.00",,"THB 2,040.00",,9960,KS - 9788,,,,,,1,indystyle33,,260.732984293194
Fastwork OSZPIXTV,15/09/2024,Voice Over (https://www.notion.so/Voice-Over-2390613ba14081a8bc31e6880f7fcf61?pvs=21),fahsuykb (Fastwork) (https://www.notion.so/fahsuykb-Fastwork-2390613ba14081348dace0c628d89dd2?pvs=21),"THB 1,700.00",THB 51.00,THB 272.00,,1377,KS - 9788,,6240907,07/09/2024,https://doc.fastwork.co/v2/order/6741d1cc-b7f8-47db-870b-4b1f25b50d05/receipt?document_code=REOSZPIXTV-1&company=true,,6,indystyle33,,36.047120418848
Fastwork #I3LR4MLM,27/10/2024,Voice Over (https://www.notion.so/Voice-Over-2390613ba14081a8bc31e6880f7fcf61?pvs=21),,"THB 2,400.00",THB 72.00,THB 408.00,,1920,KS - 9788,,13241022,22/10/2024,https://doc.fastwork.co/v2/order/c41d2fab-2012-4e9d-901a-5f33d6e7ac3c/receipt?original=false&company=true&document_code=REI3LR4MLM-1,,13,indystyle33,,50.261780104712
Notion Specialist 09/24,20/10/2024,Notion Design (https://www.notion.so/Notion-Design-2390613ba14081d2b74beb216cad2836?pvs=21),K.Gigg 10x Productive (https://www.notion.so/K-Gigg-10x-Productive-2390613ba140819ebb2ff79e393fdf0a?pvs=21),"THB 2,500.00",,,,2500,KS - 9788,,,,,,11,,,65.44502617801
Fastwork #8TXEONXL,27/10/2024,Voice Over (https://www.notion.so/Voice-Over-2390613ba14081a8bc31e6880f7fcf61?pvs=21),,"THB 2,700.00",,THB 459.00,,2241,KS - 9788,,12241017,17/10/2024,https://doc.fastwork.co/v2/order/d3eefbfa-9819-4c4b-8e9c-b7fb28ee3ba3/receipt?original=false&company=false&document_code=RE8TXEONXL-1,,12,indystyle33,,58.664921465969
Notion Specialist 11/24,29/11/2024,Notion Design (https://www.notion.so/Notion-Design-2390613ba14081d2b74beb216cad2836?pvs=21),K.Gigg 10x Productive (https://www.notion.so/K-Gigg-10x-Productive-2390613ba140819ebb2ff79e393fdf0a?pvs=21),"THB 3,500.00",,,,3500,KS - 9788,,,,,,14,,,91.623036649215
Fastwork #DBR20WER,03/11/2024,Voice Over (https://www.notion.so/Voice-Over-2390613ba14081a8bc31e6880f7fcf61?pvs=21),fahsuykb (Fastwork) (https://www.notion.so/fahsuykb-Fastwork-2390613ba14081348dace0c628d89dd2?pvs=21),"THB 1,500.00",THB 45.00,THB 255.00,,1200,KS - 9788,,9241028,28/10/2024,https://doc.fastwork.co/v2/order/c757708a-27dc-40c8-ad0d-44ab3ad77e10/receipt?document_code=REDBR20WER-1&company=true,,9,indystyle33,,31.413612565445
Notion Template,01/10/2024,Notion Design (https://www.notion.so/Notion-Design-2390613ba14081d2b74beb216cad2836?pvs=21),K.Gigg 10x Productive (https://www.notion.so/K-Gigg-10x-Productive-2390613ba140819ebb2ff79e393fdf0a?pvs=21),"THB 7,700.00",,,,7700,KS - 9788,,,,,,10,,,201.570680628272
Factwork #8TXEONXL,25/10/2024,Voice Over (https://www.notion.so/Voice-Over-2390613ba14081a8bc31e6880f7fcf61?pvs=21),,"THB 2,700.00",,,,2700,,,8241017,17/10/2024,https://doc.fastwork.co/v2/order/d3eefbfa-9819-4c4b-8e9c-b7fb28ee3ba3/receipt?document_code=RE8TXEONXL-1,,8,,,70.680628272251
Fastwork GJQKZ1XJ,02/12/2024,Voice Over (https://www.notion.so/Voice-Over-2390613ba14081a8bc31e6880f7fcf61?pvs=21),,"THB 4,500.00",THB 90.00,THB 765.00,,3645,,,,,,,18,,,95.418848167539
Fastwork OINXXCA4,28/01/2025,Voice Over (https://www.notion.so/Voice-Over-2390613ba14081a8bc31e6880f7fcf61?pvs=21),,"THB 3,000.00",,THB 480.00,,2520,,,23250213,13/02/2025,,,23,,,65.968586387435
Fastwork,02/01/2025,Notion Design (https://www.notion.so/Notion-Design-2390613ba14081d2b74beb216cad2836?pvs=21),,"THB 19,000.00",THB 570.00,"THB 3,040.00",,15390,,,17241204,04/12/2024,,,17,,,402.879581151832
Fastwork #OINXXCA4,13/02/2025,Voice Over (https://www.notion.so/Voice-Over-2390613ba14081a8bc31e6880f7fcf61?pvs=21),,"THB 3,000.00",,THB 480.00,,2520,KS - 9788,,22250115,15/01/2025,,https://doc.fastwork.co/v2/user/withdrawal/receipt/f8d69a1f-e994-473a-b864-d7278052f849?original=true,22,,,65.968586387435
Line M,22/01/2025,Notion Design (https://www.notion.so/Notion-Design-2390613ba14081d2b74beb216cad2836?pvs=21),บริษัท แวรี่ เวลล์ จำกัด สำนักงานใหญ่ (https://www.notion.so/2390613ba14081208b29e9d28bc7b8fa?pvs=21),"THB 1,900.00",THB 57.00,,,1843,,,21250122,22/01/2025,,,21,,,48.246073298429
Fastwork #YFBU2KEI,14/11/2024,Voice Over (https://www.notion.so/Voice-Over-2390613ba14081a8bc31e6880f7fcf61?pvs=21),,"THB 1,300.00",,THB 221.00,,1079,KS - 9788,,15241105,05/11/2024,,https://doc.fastwork.co/v2/user/withdrawal/receipt/f68e355a-75f5-461a-8bf9-1181f4ee734b?original=true,15,,,28.246073298429
Notion Specialist 12/24,26/12/2024,Notion Design (https://www.notion.so/Notion-Design-2390613ba14081d2b74beb216cad2836?pvs=21),K.Gigg 10x Productive (https://www.notion.so/K-Gigg-10x-Productive-2390613ba140819ebb2ff79e393fdf0a?pvs=21),"THB 2,500.00",,,,2500,KS - 9788,,,,,,19,,,65.44502617801
"Line N. ",09/01/2025,Voice Over (https://www.notion.so/Voice-Over-2390613ba14081a8bc31e6880f7fcf61?pvs=21),แอคเซส ควอลลิที (https://www.notion.so/2390613ba1408172a01dc942126135e3?pvs=21),"THB 4,500.00",THB 135.00,,,4365,,Invoice_-_138250108.pdf,20250108,08/01/2025,,,20,,,114.267015706806
